strat_id,strat_nam,sector_id,reef_id,depth_bin,strat_area,island,region
4,DEEP_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,DEEP,9.16977,OAH,MHI
15,SHALLOW_OAH_NE_FOREREEF,OAH_NE,FOREREEF,SHAL,14.87153,OAH,MHI
10,MID_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,MIDD,13.60659,OAH,MHI
16,SHALLOW_OAH_NORTH_FOREREEF,OAH_NORTH,FOREREEF,SHAL,8.057,OAH,MHI
2,DEEP_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,DEEP,8.01531,OAH,MHI
8,MID_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,MIDD,7.54621,OAH,MHI
14,SHALLOW_OAH_KAENA_FOREREEF,OAH_KAENA,FOREREEF,SHAL,2.89693,OAH,MHI
12,MID_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,MIDD,45.11474,OAH,MHI
18,SHALLOW_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,SHAL,32.82412,OAH,MHI
6,DEEP_OAH_SOUTH_FOREREEF,OAH_SOUTH,FOREREEF,DEEP,16.19334,OAH,MHI
1,DEEP_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,DEEP,10.98475,OAH,MHI
7,MID_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,MIDD,17.85084,OAH,MHI
13,SHALLOW_OAH_EAST_FOREREEF,OAH_EAST,FOREREEF,SHAL,2.78341,OAH,MHI
17,SHALLOW_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,SHAL,0.43949,OAH,MHI
11,MID_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,MIDD,0.0183,OAH,MHI
5,DEEP_OAH_PEARL_FOREREEF,OAH_PEARL,FOREREEF,DEEP,3e-4,OAH,MHI
