x,y,hardsoft,sector,depth_bin,depth,cell,division,depth_bin,longitude,latitude,sector_id,reef_id,hardsoft_id,strat_nam,strat,depth_bin_value
535272.5,8427132.5,5,7,1,29.600000381469727,66515,1,deep,535.2725,8427.1325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535222.5,8427082.5,5,7,1,22.616129152236446,67470,1,deep,535.2225,8427.0825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535272.5,8427082.5,5,7,1,23.357142686843872,67471,1,deep,535.2725,8427.0825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535222.5,8427032.5,5,7,1,29.600000381469727,68426,1,deep,535.2225,8427.0325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535272.5,8427032.5,5,7,1,23.433870900061823,68427,1,deep,535.2725,8427.0325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535322.5,8427032.5,5,7,1,22.909090735695578,68428,1,deep,535.3225,8427.0325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535272.5,8426982.5,5,7,1,28.233333587646484,69383,1,deep,535.2725,8426.9825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535322.5,8426982.5,5,7,1,24.34666659037272,69384,1,deep,535.3225,8426.9825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426932.5,5,7,1,22.194444576899212,70341,1,deep,535.3725000000001,8426.9325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426932.5,5,7,1,27.32222226460775,70342,1,deep,535.4225,8426.9325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426932.5,5,7,1,28.314285823277064,70343,1,deep,535.4725,8426.9325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426882.5,5,7,1,15.598192716638247,71297,1,mid,535.3725000000001,8426.8825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535422.5,8426882.5,5,7,1,16.80848057746887,71298,1,mid,535.4225,8426.8825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535472.5,8426882.5,5,7,1,23.144791622956593,71299,1,deep,535.4725,8426.8825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535522.5,8426882.5,5,7,1,28.223076893733097,71300,1,deep,535.5225,8426.8825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426832.5,5,7,1,20.85136000114151,72253,1,deep,535.3725000000001,8426.8325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426832.5,5,7,1,8.953590145236568,72254,1,mid,535.4225,8426.8325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535472.5,8426832.5,5,7,1,15.91220325734242,72255,1,mid,535.4725,8426.8325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535522.5,8426832.5,5,7,1,24.027058814553655,72256,1,deep,535.5225,8426.8325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535572.5,8426832.5,5,7,1,27.86666711171468,72257,1,deep,535.5725,8426.8325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
