"SITE","ISLAND"
"ROT-2073","Rota"
"ROT-2074","Rota"
"ROT-2075","Rota"
"ROT-2076","Rota"
"ROT-2077","Rota"
"ROT-2078","Rota"
"ROT-2079","Rota"
"ROT-2080","Rota"
"ROT-2081","Rota"
"ROT-2082","Rota"
"ROT-2083","Rota"
"ROT-2084","Rota"
"ROT-2085","Rota"
"ROT-2086","Rota"
"ROT-2087","Rota"
"ROT-2088","Rota"
"ROT-2089","Rota"
"ROT-2090","Rota"
"SAI-1003","Saipan"
"SAI-1010","Saipan"
"SAI-1011","Saipan"
"SAI-1012","Saipan"
"SAI-1015","Saipan"
"SAI-1016","Saipan"
"SAI-1019","Saipan"
"SAI-1022","Saipan"
"SAI-1023","Saipan"
"SAI-1068","Saipan"
"SAI-1096","Saipan"
"SAI-1114","Saipan"
"SAI-1142","Saipan"
"SAI-1184","Saipan"
"SAI-1304","Saipan"
"SAI-1305","Saipan"
"SAI-1316","Saipan"
"SAI-1330","Saipan"
"SAI-1339","Saipan"
"SAI-1349","Saipan"
"SAI-1359","Saipan"
"SAI-1397","Saipan"
"SAI-1438","Saipan"
"SAI-1473","Saipan"
"SAI-1498","Saipan"
"SAI-1520","Saipan"
"SAI-1537","Saipan"
"SAI-1546","Saipan"
"SAI-1579","Saipan"
"SAI-1594","Saipan"
"SAI-1622","Saipan"
"SAI-1623","Saipan"
"SAI-1624","Saipan"
"SAI-1628","Saipan"
"SAI-1630","Saipan"
"SAI-1633","Saipan"
"SAI-1636","Saipan"
"SAI-1637","Saipan"
"SAI-1639","Saipan"
"SAI-1640","Saipan"
"SAI-1644","Saipan"
"SAI-1650","Saipan"
"SAI-1652","Saipan"
"SAI-1653","Saipan"
"SAI-1654","Saipan"
"SAI-1655","Saipan"
"SAI-1656","Saipan"
"SAI-1662","Saipan"
"SAI-1665","Saipan"
"SAI-1670","Saipan"
"SAI-1671","Saipan"
"SAI-1680","Saipan"
"SAI-1687","Saipan"
"SAI-1692","Saipan"
"SAI-1694","Saipan"
"SAI-1696","Saipan"
"SAI-1701","Saipan"
"SAI-1702","Saipan"
"SAI-1703","Saipan"
