OBS_YEAR,ROUNDID,MISSIONID,SITE,ASSOC_OCC_SITEID,OCC_SITEID,DATE_,LOCALTIME,TYPE,DIVE,HABITAT_CODE,REEF_ZONE,MAX_DEPTH_M,MIN_DEPTH_M,VISIBILITY,VISIBILITY_M,MAX_Z_M,MIN_Z_M,DEPTH_BIN,DISTRICT,ISLAND,REGION,SECTOR,SITEDESCRIPTION,SITEVISITID,OBJECTID_SV,OBJECTID_LOS,COMMENTS_SV,COMMENTS_LOS,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOS,LONGITUDE_LOS,PHOTOMOSAIC_YN,TRANSECT_PHOTOS,CLIMATE_STATION_YN,EXCLUDE_FLAG,DS_SUITE_ACTIVITY_YN,CB_ACTIVITY_YN,CTD_ACTIVITY_YN,H2O_ACTIVITY_YN,STR_DEP_ACTIVITY_YN,STR_REC_ACTIVITY_YN,BMUS_DEPLOY_YN,BMUS_RETRIEVE_YN,CAUS_DEPLOY_YN,CAUS_RETRIEVE_YN,CORAL_BELT_ADULT_YN,CORAL_BELT_JUVENILE_YN,FISH_REA_YN,SEC_NAME
2022,185,MP2206,TUT-6057,,,09/13/2022 09.05.00,09/13/2022 09.05.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40083,38685,23028,,,-14.284707,-170.66545,-14.284707,-170.66545,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6016,,,09/13/2022 09.15.00,09/13/2022 09.15.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40084,38686,23029,,,-14.281697,-170.666355,-14.281697,-170.666355,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6054,,,09/13/2022 09.27.00,09/13/2022 09.27.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40085,38687,23025,,,-14.281006,-170.667172,-14.281006,-170.667172,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6052,,,09/13/2022 09.35.00,09/13/2022 09.35.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40086,38688,23027,,,-14.279647,-170.667232,-14.279647,-170.667232,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6002,,,09/13/2022 09.53.00,09/13/2022 09.53.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40087,38689,23015,,,-14.278604,-170.669158,-14.278604,-170.669158,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6049,,,09/13/2022 10.03.00,09/13/2022 10.03.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40096,38690,23026,,,-14.27678,-170.66785,-14.27678,-170.66785,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6015,,,09/13/2022 10.15.00,09/13/2022 10.15.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40097,38691,23014,,,-14.276075,-170.666864,-14.276075,-170.666864,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6044,,,09/13/2022 10.23.00,09/13/2022 10.23.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40098,38692,23013,,,-14.27496,-170.666273,-14.27496,-170.666273,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6008,,,09/13/2022 10.35.00,09/13/2022 10.35.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40099,38693,23021,,,-14.273628,-170.666576,-14.273628,-170.666576,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6014,,,09/13/2022 10.45.00,09/13/2022 10.45.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40100,38694,23020,,,-14.273752,-170.665036,-14.273752,-170.665036,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
