ISLAND,Island_Code,SECTOR,sector_id,STRATUM,FISH SITES,SFM SITES,MAP SITES,TOTAL MAP SITES,FISH MAX SITES,CHG_SITES
Lisianski Island,lis,LIS,lis_sector,FRF_S,6,2,6,18,4,
Midway,mid,MID,mid_sector,BRF_S,,,,,2,
Midway,mid,MID,mid_sector,FRF_D,,,,,4,
Midway,mid,MID,mid_sector,FRF_M,,,,,3,
Midway,mid,MID,mid_sector,FRF_S,,,,,2,
Midway,mid,MID,mid_sector,LAG_D,,,,,2,
Midway,mid,MID,mid_sector,LAG_S,,,,,3,
Pearl and Hermes Atolls,phr,PHR,phr_sector,BRF_S,,,,,2,
Pearl and Hermes Atolls,phr,PHR,phr_sector,FRF_D,10,5,10,20,26,
Pearl and Hermes Atolls,phr,PHR,phr_sector,FRF_M,11,20,20,40,34,
Pearl and Hermes Atolls,phr,PHR,phr_sector,FRF_S,6,2,6,18,3,
Pearl and Hermes Atolls,phr,PHR,phr_sector,LAG_M,6,,6,18,10,
Pearl and Hermes Atolls,phr,PHR,phr_sector,LAG_S,8,14,14,28,6,
